trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.65, 'e': 0.19398004229089108}",20,0,-6.3053020798922965,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.65, 'e': 0.19013898010151972}",30,0,-12.465027747511495,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
84,False,"{'a': 0.65, 'e': 0.18637397603940917}",20,0,-16.859020279837384,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.65, 'e': 0.18268352405273386}",20,11,4.220741418085447,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.65, 'e': 0.17906614791149245}",20,0,30.02176318645586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.65, 'e': 0.1755204006169961}",25,0,-42.590096827181014,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
88,False,"{'a': 0.65, 'e': 0.17204486382304976}",20,10,16.871738795683434,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.65, 'e': 0.16863814726859475}",20,15,7.707566857881023,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.65, 'e': 0.16529888822158578}",20,5,20.948493554956265,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.65, 'e': 0.16202575093388003}",25,5,-10.444596533508383,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.65, 'e': 0.15881742610691996}",20,6,1.2280449792417083,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.65, 'e': 0.15567263036799658}",20,14,10.343365388250643,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.65, 'e': 0.15259010575688314}",25,20,11.822315811977008,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.65, 'e': 0.14956861922263434}",20,9,8.617059977220356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.65, 'e': 0.14660696213034943}",25,14,8.62782503709625,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.65, 'e': 0.14370394977770223}",20,7,26.95058115908064,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.65, 'e': 0.1408584209210443}",20,10,22.617574017958237,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.65, 'e': 0.13806923731089213}",20,0,8.591563664515144,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.65, 'e': 0.135335283236612}",20,16,8.176111632541712,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.65, 'e': 0.13265546508012105}",25,4,26.145909647134598,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.65, 'e': 0.13002871087842524}",20,0,-32.97334017397333,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
103,False,"{'a': 0.65, 'e': 0.12745396989482008}",25,18,1.1347991413411531,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.65, 'e': 0.12493021219858176}",25,0,-4.42736346540052,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.65, 'e': 0.12245642825298125}",20,16,7.452153090942735,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.12003162851145609}",20,10,15.486590930596003,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.65, 'e': 0.11765484302177856}",20,9,15.583621638930337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.65, 'e': 0.11532512103806189}",30,8,38.27671645100631,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.65, 'e': 0.11304153064044924}",25,11,20.91294859599341,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.65, 'e': 0.11080315836233326}",20,15,9.592219189640446,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.65, 'e': 0.10860910882495736}",20,11,14.362088551735862,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.65, 'e': 0.10645850437925221}",25,5,1.0645324677694308,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.65, 'e': 0.10435048475476441}",20,6,19.969032143682373,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.65, 'e': 0.10228420671553687}",25,11,13.16767796918639,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.65, 'e': 0.10025884372280315}",20,0,15.99235471820935,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
116,False,"{'a': 0.65, 'e': 0.09827358560436096}",30,0,26.602649840452678,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.65, 'e': 0.09632763823049245}",20,0,28.825292323631828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.65, 'e': 0.09442022319630178}",20,10,7.383092810942365,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.09255057751034272}",20,12,17.7213332566179,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.65, 'e': 0.09071795328941196}",20,0,23.286865652383675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.65, 'e': 0.08892161745938579}",25,19,10.728271351548587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.65, 'e': 0.08716085146198076}",25,0,-12.469937638826462,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
