trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.65, 'e': 0.05726876026546694}",20,0,25.777450964924412,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.65, 'e': 0.056134762834133316}",20,7,19.827885128432733,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.65, 'e': 0.05502322005640683}",20,0,-22.00916391493846,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
146,False,"{'a': 0.65, 'e': 0.05393368730035562}",25,11,8.698211495871126,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.65, 'e': 0.05286572873834998}",20,14,12.576942225016083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.65, 'e': 0.05181891717272545}",20,0,23.09929675123011,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.65, 'e': 0.05079283386489812}",20,0,24.808690239943413,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.65, 'e': 0.04978706836786357}",20,0,27.39268347839432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.65, 'e': 0.048801218362012594}",25,12,24.481973035792674,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.65, 'e': 0.04783488949419801}",20,1,14.480708946443226,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.65, 'e': 0.04688769521998813}",20,0,17.558480384310897,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.65, 'e': 0.04595925664904386}",25,8,28.073878070178655,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.65, 'e': 0.04504920239355746}",20,5,19.740482027480635,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.65, 'e': 0.04415716841969253}",20,14,8.004326024841143,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.65, 'e': 0.04328279790196556}",20,1,4.713753607133433,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.65, 'e': 0.04242574108051105}",20,4,24.17004383654351,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.65, 'e': 0.04158565512117284}",25,0,27.77215423820243,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.65, 'e': 0.04076220397836589}",20,14,8.645485345386977,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.65, 'e': 0.03995505826065359}",25,12,10.229860321521919,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
